url_length,special_chars_count,digits_count,subdomains_count,hyphens_count,has_ip_address,at_symbol_count,double_slash_count,suspicious_words_count,suspicious_tld,is_shortened,parameters_count,shannon_entropy,relative_entropy
29,7,0,2,1,0,0,1,0,0,0,0,3.857306856898128,0.794014398320394
39,8,0,2,0,0,0,1,1,0,0,0,3.957852539097701,0.7488271233120419
159,16,43,1,0,0,0,1,0,0,0,1,4.917410844470603,0.6724312250775513
48,10,0,2,1,0,0,1,0,0,0,0,4.236440501696144,0.758544126509196
69,14,0,2,1,0,0,1,0,0,0,0,4.383977812434821,0.7176819612419251
53,9,0,2,2,0,0,1,1,0,0,0,4.033761021698655,0.7042278351622574
100,14,0,2,7,0,0,1,2,0,0,0,4.216622160287628,0.6346648753140158
35,6,0,2,0,0,0,1,0,0,0,0,3.9328743603470455,0.7667493385244105
29,7,0,1,1,0,0,1,0,0,0,0,4.047299098426643,0.8331236994310965
112,18,18,9,0,0,0,1,0,0,0,0,4.559107436252553,0.669732589008964
50,10,0,2,2,0,0,1,0,0,0,0,4.121076880026372,0.7301881446753989
68,12,0,2,0,0,0,1,0,0,0,1,4.451310179982966,0.7312258482827446
47,8,0,2,0,0,0,1,0,0,0,0,4.309284064167407,0.7758061270126025
52,9,0,2,0,0,0,1,0,0,0,0,4.065140440455373,0.7131275202364584
35,6,0,2,0,0,0,1,0,0,0,0,4.093149802473811,0.7979964819550389
48,12,0,1,0,0,0,1,0,0,0,0,3.8396617192457945,0.6874999999999999
33,6,0,1,0,0,0,1,0,0,0,0,4.271370634378849,0.8467559301100134
17,4,0,1,0,0,0,1,0,0,0,0,3.7345216647797512,0.9136527498406262
71,14,8,2,4,0,0,1,0,0,0,0,4.522987177443167,0.7354753113502757
43,9,0,3,2,0,0,1,0,0,0,0,4.623257196260684,0.8520146740452403
48,8,0,2,0,0,0,1,0,0,0,0,4.145512835516972,0.7422633249519015
82,13,5,2,0,0,0,1,0,0,0,1,5.175919651086607,0.8141372099397463
192,37,106,2,10,0,0,1,0,0,0,0,4.563780101231269,0.6016878924315523
51,8,0,2,0,0,0,1,0,0,0,0,3.949399793325864,0.6962453545405711
83,14,4,2,6,0,0,1,0,0,0,0,4.34860475742248,0.6821298604114991
