status,url_length,special_chars_count,digits_count,subdomains_count,hyphens_count,has_ip_address,at_symbol_count,double_slash_count,suspicious_words_count,suspicious_tld,is_shortened,parameters_count,shannon_entropy,relative_entropy
0,37,7,0,2,0,0,0,1,0,0,0,0,3.7870428120319044,0.7269558908076885
1,77,7,17,1,0,0,0,1,0,0,0,0,4.419864470453803,0.7052840306195749
1,126,19,19,4,1,0,0,1,2,0,0,1,4.753412094896157,0.6812700861959639
0,18,5,0,2,0,0,0,1,0,0,0,0,3.4613201402110083,0.8300677204059526
0,55,10,0,2,2,0,0,1,0,0,0,0,4.0976622783587,0.7087713758361737
1,32,8,0,3,1,0,0,1,0,0,0,0,3.6665301730294657,0.7333060346058932
0,19,5,0,2,0,0,0,1,0,0,0,0,3.2608281712244556,0.7676280164632713
1,81,8,21,2,0,0,0,1,0,0,0,0,4.771112319170577,0.7525591799490092
0,42,6,0,2,0,0,0,1,0,0,0,0,4.195539744052798,0.7780587482349581
0,104,18,8,1,10,0,0,1,0,0,0,0,4.481455590414627,0.6688300736862566
0,56,9,0,2,0,0,0,1,0,0,0,0,4.344566583470217,0.7481145274879969
0,43,9,8,2,3,0,0,1,0,0,0,0,4.286275219617124,0.7899126587774542
0,83,15,1,1,9,0,0,1,1,0,0,0,4.281211648465453,0.6715584577272041
1,31,6,2,1,0,0,0,1,0,0,0,0,3.84888461662912,0.7768938442264836
0,25,6,0,2,0,0,0,1,0,0,0,0,3.7532696895151085,0.8082226357007798
1,51,10,1,3,0,0,0,1,0,0,0,1,4.4444019991657955,0.7835100034337533
0,31,6,0,2,0,0,0,1,0,0,0,0,3.784368487596862,0.7638713225115094
1,50,8,3,2,0,0,0,1,0,0,0,0,4.174177320667444,0.7395966835990655
1,34,7,0,2,0,0,0,1,0,0,0,0,4.0796786498829745,0.8019082944063955
0,27,6,4,2,0,0,0,1,0,0,0,0,4.032303242743952,0.8480333637566101
0,63,13,0,3,2,0,0,1,0,0,0,0,4.075590044566196,0.6818469432128902
